北京,北京,100000,10
通县,北京,101100,10
平台,北京,101200,10
顺义,北京,101300,10
怀柔,北京,101400,10
密云,北京,101500,10
延庆,北京,102100,10
昌平,北京,102200,10
大兴,北京,102600,10
广州,广东,510000,20
花县,广东,510800,20
从化,广东,510900,20
增城,广东,511300,20
番禺,广东,511400,20
上海,上海,200000,21
上海县,上海,201100,21
川沙,上海,201200,21
南汇,上海,201300,21
奉贤,上海,201400,21
金山,上海,201500,21
松江,上海,201600,21
青浦,上海,201700,21
嘉定,上海,201800,21
崇明,上海,202100,21
天津,天津,300000,22
宁河,天津,301500,22
静海,天津,301600,22
武清,天津,301700,22
宝坻,天津,301800,22
蓟县,天津,301900,22
重庆,重庆,400000,23
北碚,重庆,400700,23
南桐,重庆,400800,23
双桥,重庆,400900,23
江北,重庆,401120,23
长寿,重庆,401220,23
巴县,重庆,401320,23
綦江,重庆,401420,23
合川,重庆,401520,23
永川,重庆,402000,23
江津,重庆,402260,23
大足,重庆,402360,23
荣昌,重庆,402460,23
铜梁,重庆,402560,23
潼南,重庆,402660,23
壁山,重庆,402760,23
万县,重庆,404000,23
忠县,重庆,404300,23
云阳,重庆,404500,23
奉节,重庆,404600,23
巫山,重庆,404700,23
梁平,重庆,405200,23
开县,重庆,405400,23
巫溪,重庆,405800,23
城口,重庆,405900,23
涪陵,重庆,408000,23
丰都,重庆,408200,23
垫江,重庆,408300,23
南川,重庆,408400,23
武隆,重庆,408500,23
石柱,重庆,409100,23
黔江,重庆,409700,23
沈阳,辽宁,110000,24
辽中,辽宁,110200,24
新民,辽宁,110300,24
法库,辽宁,112100,24
康平,辽宁,112200,24
南京,江苏,210000,25
江宁,江苏,211100,25
溧水,江苏,211200,25
高淳,江苏,211300,25
六合,江苏,211500,25
江浦,江苏,211800,25
武汉,湖北,430000,27
蔡甸,湖北,430100,27
武昌,湖北,430200,27
武昌县,湖北,430200,27
新洲,湖北,431400,27
黄陂,湖北,432200,27
成都,四川,610000,28
双流,四川,610200,28
金堂,四川,610400,28
新都,四川,610500,28
温江,四川,611100,28
崇州,四川,611200,28
大邑,四川,611300,28
新津,四川,611400,28
邛崃,四川,611500,28
蒲江,四川,611600,28
郫县,四川,611700,28
都江堰,四川,611800,28
彭州,四川,611900,28
西安,陕西,710000,29
长安,陕西,710100,29
高陵,陕西,710200,29
户县,陕西,710300,29
周至,陕西,710400,29
蓝田,陕西,710500,29
临潼,陕西,710600,29
邯郸,河北,56000,310
武安,河北,56300,310
涉县,河北,56400,310
磁县,河北,56500,310
临漳,河北,56600,310
成安,河北,56700,310
魏县,河北,56800,310
大名,河北,56900,310
永年,河北,57100,310
曲周,河北,57200,310
鸡泽,河北,57300,310
丘县,河北,57400,310
肥乡,河北,57500,310
广平,河北,57600,310
馆陶,河北,57700,310
石家庄,河北,50000,311
获鹿,河北,50200,311
井陉,河北,50300,311
平山,河北,50400,311
灵寿,河北,50500,311
行唐,河北,50600,311
新乐,河北,50700,311
正定,河北,50800,311
元氏,河北,51100,311
赞皇,河北,51200,311
高邑,河北,51300,311
栾城,河北,51400,311
赵县,河北,51500,311
晋州,河北,52200,311
辛集,河北,52300,311
无极,河北,52400,311
深泽,河北,52500,311
保定,河北,71000,312
清苑,河北,71100,312
安国,河北,71200,312
博野,河北,71300,312
蠡县,河北,71400,312
高阳,河北,71500,312
安新,河北,71600,312
容城,河北,71700,312
雄县,河北,71800,312
潢城,河北,72100,312
顺平,河北,72200,312
唐县,河北,72300,312
望都,河北,72400,312
徐水,河北,72500,312
定兴,河北,72600,312
涿州,河北,72700,312
定州,河北,73000,312
曲阳,河北,73100,312
阜平,河北,73200,312
高碑店,河北,74000,312
涞水,河北,74100,312
易县,河北,74200,312
涞源,河北,102900,312
张家口,河北,75000,313
宣化,河北,75100,313
怀来,河北,75400,313
赤城,河北,75500,313
涿鹿,河北,75600,313
蔚县,河北,75700,313
